City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
206,Harper,LR,75.9,light rain,4.375,-7.7169,Screensaver
211,Reconquista,AR,60.24,overcast clouds,-29.15,-59.65,Grand Hotel
214,Gat,IL,74.08,clear sky,31.61,34.7642,OlusHome
215,Forestville,US,74.34,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
216,Chokwe,MZ,62.78,moderate rain,-24.5333,32.9833,Complexo Sonho Real
217,Shiyan,CN,65.34,overcast clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
218,Bodrum,TR,64.33,overcast clouds,37.0383,27.4292,The Marmara Bodrum
219,Sarahan,IN,60.37,overcast clouds,31.5167,77.8,Hotel Monal
224,Binga,ZW,76.12,overcast clouds,-17.6203,27.3414,Lakeview Inn Binga
226,Sambava,MG,65.59,few clouds,-14.2667,50.1667,Melrose
229,Kassala,SD,78.13,overcast clouds,15.451,36.4,Amassi Hotel Gash
231,Alizai,PK,74.46,clear sky,33.5383,70.3462,Alizai Rest House
232,Benjamin Constant,BR,73.27,broken clouds,-4.3831,-70.0311,CASA AVALIADA
234,Wanlaweyn,SO,75.07,broken clouds,2.6185,44.8938,GAASHAAN HOME
235,Lompoc,US,73.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
236,Nouadhibou,MR,74.8,few clouds,20.931,-17.0347,El Medina
239,Cedar City,US,72.39,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
242,Yuxia,CN,64.54,overcast clouds,34.0615,108.6291,Shanchengxuan Hotel
244,Khash,IR,70.27,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
247,Bontang,ID,75.06,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
252,Tecoanapa,MX,77.41,overcast clouds,16.5167,-98.75,Hotel Manglares
257,Presidente Epitacio,BR,71.56,overcast clouds,-21.7633,-52.1156,Hotel Itaverá
258,Suchitlan,MX,68.47,overcast clouds,19.3667,-103.7167,Hostal La Nogalera de Comala
262,Marand,IR,66.33,clear sky,38.4329,45.7749,کوچه صفا
264,Susanville,US,61.81,broken clouds,40.4163,-120.653,Comfort Inn & Suites
266,Port Augusta,AU,61.47,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
