City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Atuona,PF,2022-09-15 21:27:32,-9.8,-139.0333,76.95,66,12,16.31
68,Port-Gentil,GA,2022-09-15 21:27:32,-0.7193,8.7815,78.76,78,40,14.97
69,Kahului,US,2022-09-15 21:27:33,20.8947,-156.47,89.62,66,40,20.71
70,Petatlan,MX,2022-09-15 21:27:33,17.5167,-101.2667,87.6,67,97,6.06
71,Bintulu,MY,2022-09-15 21:27:33,3.1667,113.0333,77.41,100,40,2.3
72,Taguatinga,BR,2022-09-15 21:27:34,-12.3857,-46.5711,93.04,13,4,3.44
73,Sangar,RU,2022-09-15 21:27:34,63.9242,127.4739,29.98,96,22,6.46
74,Skibbereen,IE,2022-09-15 21:27:34,51.55,-9.2667,57.11,86,100,7.05
75,Albany,US,2022-09-15 21:25:53,42.6001,-73.9662,68.79,49,47,1.01
76,Kollam,IN,2022-09-15 21:27:35,8.8833,76.6,76.26,90,14,9.51
77,Benghazi,LY,2022-09-15 21:27:35,32.1167,20.0667,77.79,59,0,10.56
78,Mount Gambier,AU,2022-09-15 21:27:36,-37.8333,140.7667,49.91,93,100,13.8
79,Cape Town,ZA,2022-09-15 21:27:16,-33.9258,18.4232,64.38,80,29,4.61
80,Acari,PE,2022-09-15 21:27:36,-15.4311,-74.6158,75.18,45,0,7.81
81,Yar-Sale,RU,2022-09-15 21:27:36,66.8333,70.8333,46.51,81,100,4.23
82,Yumen,CN,2022-09-15 21:27:37,40.2833,97.2,56.55,36,13,9.44
83,Thompson,CA,2022-09-15 21:26:36,55.7435,-97.8558,66.36,59,20,6.91
84,Ahipara,NZ,2022-09-15 21:27:37,-35.1667,173.1667,55.65,55,21,9.37
85,Asau,RO,2022-09-15 21:27:38,46.4333,26.4,69.28,79,100,6.71
86,Natal,BR,2022-09-15 21:23:49,-5.795,-35.2094,80.82,78,20,11.5
87,Bilibino,RU,2022-09-15 21:27:38,68.0546,166.4372,33.98,80,100,4.54
88,Coquimbo,CL,2022-09-15 21:27:39,-29.9533,-71.3436,56.93,82,75,13.8
89,Saint-Philippe,RE,2022-09-15 21:27:39,-21.3585,55.7679,69.39,84,39,15.21
90,Havelock,US,2022-09-15 21:27:40,34.8791,-76.9013,82.06,67,0,11.5
91,Lazaro Cardenas,MX,2022-09-15 21:27:40,17.9583,-102.2,84.99,69,63,7.61
92,Barrow,US,2022-09-15 21:27:40,71.2906,-156.7887,35.62,93,100,29.93
93,Tobe,JP,2022-09-15 21:27:41,33.7447,132.7901,76.1,77,75,5.75
94,Tharad,IN,2022-09-15 21:28:41,24.3961,71.6267,82.58,80,96,13.38
95,South Venice,US,2022-09-15 21:28:42,27.0531,-82.4243,87.98,76,40,4.61
96,Port Alfred,ZA,2022-09-15 21:28:42,-33.5906,26.891,62.94,82,42,6.04
97,Porto Walter,BR,2022-09-15 21:28:42,-8.2686,-72.7439,70.95,98,100,5.06
98,San-Pedro,CI,2022-09-15 21:28:43,4.7485,-6.6363,76.05,87,89,7.45
99,Sabzevar,IR,2022-09-15 21:28:43,36.2126,57.6819,78.08,18,20,21.85
100,Misratah,LY,2022-09-15 21:28:43,32.3754,15.0925,79.39,60,0,16.24
101,Saskylakh,RU,2022-09-15 21:28:44,71.9167,114.0833,27.5,93,88,4.79
102,Hailar,CN,2022-09-15 21:28:44,49.2,119.7,53.29,62,30,2.8
103,Dikson,RU,2022-09-15 21:28:44,73.5069,80.5464,36.81,76,100,22.75
104,Upernavik,GL,2022-09-15 21:28:45,72.7868,-56.1549,39.87,96,100,11.83
105,Santa Rosa,PH,2022-09-15 21:28:45,14.3122,121.1114,78.78,91,98,7.52
106,Kananga,CD,2022-09-15 21:28:45,-5.8958,22.4178,71.31,72,99,0.6
107,Mitsamiouli,KM,2022-09-15 21:28:46,-11.3847,43.2844,75.74,78,76,4.83
108,Sinazongwe,ZM,2022-09-15 21:28:46,-17.2614,27.4618,72.07,48,0,2.42
109,Egvekinot,RU,2022-09-15 21:28:47,66.3167,-179.1667,35.11,91,100,9.86
110,Mahebourg,MU,2022-09-15 21:28:47,-20.4081,57.7,71.26,78,40,5.75
